Porter,paciente 1,paciente 2,paciente 1 end,paciente 2 start,Pickup,DropOff,Deposito
0,14,16,08:06:42,08:07:42,False,False,0
0,16,18,08:14:42,08:21:00,True,False,1
0,18,26,08:25:30,08:31:54,True,False,1
0,26,36,08:32:54,08:36:48,False,False,0
0,36,70,08:40:36,08:41:36,False,False,0
0,70,69,08:44:36,08:46:36,False,False,0
0,69,82,08:51:36,08:57:42,False,False,0
0,82,101,09:00:42,09:05:42,False,False,0
0,101,125,09:10:42,09:12:42,True,False,1
0,125,134,09:18:06,09:19:06,False,False,0
0,134,136,09:24:30,09:25:30,False,False,0
0,136,148,09:28:30,09:32:48,False,False,0
0,148,180,09:37:48,09:40:36,False,False,0
0,180,181,09:42:06,09:47:24,False,False,0
0,181,210,09:52:48,09:53:48,False,False,0
0,210,214,09:58:48,10:05:24,False,False,0
0,214,245,10:08:24,10:11:24,False,False,0
0,245,263,10:14:24,10:16:24,False,False,0
0,263,268,10:22:24,10:27:12,False,False,0
0,268,277,10:31:42,10:33:42,False,False,0
0,277,305,10:38:30,10:43:18,False,False,0
0,305,317,10:45:18,10:48:18,False,False,0
0,317,313,10:51:18,10:52:18,False,False,0
0,313,327,10:57:42,11:03:06,False,False,0
0,327,342,11:05:06,11:08:06,False,False,0
0,342,354,11:11:06,11:13:06,False,False,0
0,354,371,11:18:06,11:23:30,False,False,0
0,371,374,11:28:18,11:33:06,False,False,0
0,374,406,11:35:06,11:39:54,False,False,0
0,406,411,11:47:30,11:50:54,False,False,0
0,411,417,11:53:54,11:56:54,False,False,0
0,417,437,11:59:54,12:04:24,True,False,1
0,437,436,12:08:54,12:11:54,False,False,0
0,436,451,12:14:54,12:16:54,False,False,0
0,451,457,12:22:54,12:28:06,False,True,1
0,457,468,12:33:30,12:38:54,False,False,0
0,468,487,12:41:54,12:45:12,False,False,0
0,487,486,12:49:00,12:50:00,False,False,0
0,486,489,12:53:00,12:56:00,False,False,0
0,489,501,12:59:00,13:00:00,False,False,0
0,501,508,13:05:24,13:11:30,True,False,1
0,508,534,13:14:30,13:17:12,False,True,1
0,534,536,13:21:00,13:22:00,False,False,0
0,536,540,13:25:00,13:27:00,False,False,0
0,540,547,13:29:00,13:33:48,False,False,0
0,547,562,13:38:36,13:40:36,True,False,1
0,562,581,13:45:24,13:49:48,False,True,1
0,581,584,13:54:18,13:57:06,False,False,0
0,584,600,13:58:36,14:01:06,False,False,0
0,600,612,14:05:36,14:06:36,False,False,0
0,612,614,14:08:36,14:10:36,False,False,0
0,614,631,14:15:36,14:20:54,False,False,0
0,631,645,14:22:24,14:25:06,False,False,0
0,645,657,14:30:30,14:31:30,True,False,1
0,657,662,14:36:54,14:37:54,False,False,0
0,662,695,14:39:54,14:41:54,False,False,0
0,695,698,14:47:18,14:51:42,True,False,1
0,698,715,14:58:00,15:01:00,False,False,0
0,715,724,15:02:00,15:03:00,False,True,1
0,724,722,15:06:00,15:10:30,True,False,2
0,722,739,15:15:00,15:17:00,False,False,0
0,739,753,15:22:24,15:27:48,False,False,0
0,753,761,15:30:48,15:33:48,False,False,0
0,761,756,15:39:48,15:45:06,False,True,1
0,756,778,15:47:06,15:49:06,True,False,1
0,778,785,15:51:06,15:55:54,False,False,0
0,785,780,16:00:42,16:02:42,False,True,1
0,780,790,16:05:42,16:10:00,False,False,0
0,790,796,16:15:00,16:17:00,False,False,0
0,796,787,16:20:30,16:21:30,True,False,1
0,787,793,16:25:00,16:27:00,False,True,1
1,2,19,08:13:00,08:16:47,False,True,2
